Percent Min,Percent Max,Rotation_SPEED_SETUP,rolling_SETUP,Coolant_SETUP,Airflow_SETUP,UW_SETUP,RW_SETUP
83.117944,83.93684,5271.126819,-34.99843037,31.50264357,6.848684727,3548.810401,4548.884071
81.070704,81.8896,5272.116297,-34.99060689,31.49981584,6.848453554,3549.723635,4550.203258
79.023464,79.84236,5273.105774,-34.98278341,31.49698811,6.848222381,3550.636869,4551.522446
76.976224,77.79512,5274.095252,-34.97495992,31.49416039,6.847991207,3551.550104,4552.841633
74.928984,75.74788,5275.08473,-34.96713644,31.49133266,6.847760034,3552.463338,4554.16082
72.881744,73.70064,4139.285714,-47.27678571,34.73214286,7.401785714,2825.892857,3812.5
70.834504,71.6534,5144.444444,-32.64957265,34.01709402,6.589316239,3175.213675,4136.752137
68.787264,69.60616,5846.031746,-32.46031746,30.15873016,6.576190476,4277.777778,5258.730159
66.740024,67.55892,5220,-38,32,7.5,2800,3800
64.692784,65.51168,4271.830986,-40.84507042,31.97183099,7.629577465,3246.478873,4229.577465
62.645544,63.46444,5422.636103,-32.44985673,30.85959885,6.631375358,3799.426934,4693.696275
60.598304,61.4172,4447.008547,-36.83760684,32.47863248,6.670940171,3185.470085,4134.188034
58.551064,59.36996,5900,-33.60294118,30,6.303308824,3670.588235,4600
56.503824,57.32272,5900,-30,30,6.182608696,3856.521739,4917.391304
54.456584,55.27548,5900,-30,30,7.675,3800,5100
52.409344,53.22824,5900,-30,30,6.15,4500,5500
50.362104,51.181,5286.95846,-34.87325465,31.45739995,6.844985955,3563.422149,4569.991066
48.314864,49.13376,5287.947937,-34.86543117,31.45457222,6.844754782,3564.335383,4571.310253
46.267624,47.08652,5288.937415,-34.85760768,31.4517445,6.844523609,3565.248617,4572.629441
44.220384,45.03928,5289.926892,-34.8497842,31.44891677,6.844292436,3566.161852,4573.948628
42.173144,42.99204,5290.91637,-34.84196072,31.44608904,6.844061263,3567.075086,4575.267815
40.125904,40.9448,5291.905847,-34.83413723,31.44326132,6.843830089,3567.98832,4576.587002
38.078664,38.89756,5292.895325,-34.82631375,31.44043359,6.843598916,3568.901554,4577.906189
36.031424,36.85032,5293.884802,-34.81849027,31.43760586,6.843367743,3569.814789,4579.225377
33.984184,34.80308,5294.87428,-34.81066679,31.43477814,6.84313657,3570.728023,4580.544564
31.936944,32.75584,5295.863757,-34.8028433,31.43195041,6.842905396,3571.641257,4581.863751
29.889704,30.7086,5296.853235,-34.79501982,31.42912269,6.842674223,3572.554491,4583.182938
27.842464,28.66136,5297.842712,-34.78719634,31.42629496,6.84244305,3573.467726,4584.502125
25.795224,26.61412,5298.83219,-34.77937285,31.42346723,6.842211877,3574.38096,4585.821313
23.747984,24.56688,5299.821667,-34.77154937,31.42063951,6.841980704,3575.294194,4587.1405
21.700744,22.51964,5300.811145,-34.76372589,31.41781178,6.84174953,3576.207428,4588.459687
19.653504,20.4724,5301.800622,-34.75590241,31.41498405,6.841518357,3577.120663,4589.778874
17.606264,18.42516,5302.7901,-34.74807892,31.41215633,6.841287184,3578.033897,4591.098061
15.559024,16.37792,5303.779578,-34.74025544,31.4093286,6.841056011,3578.947131,4592.417249
13.511784,14.33068,5304.769055,-34.73243196,31.40650088,6.840824837,3579.860365,4593.736436
11.464544,12.28344,5305.758533,-34.72460847,31.40367315,6.840593664,3580.7736,4595.055623
9.417304,10.2362,5306.74801,-34.71678499,31.40084542,6.840362491,3581.686834,4596.37481
7.370064,8.18896,5307.737488,-34.70896151,31.3980177,6.840131318,3582.600068,4597.693997
5.322824,6.14172,5308.726965,-34.70113803,31.39518997,6.839900144,3583.513302,4599.013185
3.275584,4.09448,5309.716443,-34.69331454,31.39236225,6.839668971,3584.426537,4600.332372
1.228344,2.04724,5310.70592,-34.68549106,31.38953452,6.839437798,3585.339771,4601.651559
